Designator,Mid X,Mid Y,Rotation,Layer
C1,110.795198,-52.515198,0.0,top
C10,99.124198,-77.788198,180.0,top
C11,106.490198,-76.899198,90.0,top
C12,103.442198,-73.851198,90.0,top
C13,101.664198,-73.851198,90.0,top
C14,118.936198,-69.533198,90.0,top
C15,125.794198,-75.629198,90.0,top
C16,128.842198,-75.629198,90.0,top
C17,85.598398,-53.658198,0.0,top
C18,85.598998,-56.579198,0.0,top
C19,73.724198,-54.801198,0.0,top
C2,85.281198,-87.059198,180.0,top
C20,73.724198,-53.277198,0.0,top
C3,79.947198,-77.087198,90.0,top
C4,78.042198,-77.087198,90.0,top
C5,80.582198,-72.060198,90.0,top
C6,80.582198,-63.183198,270.0,top
C7,85.662198,-61.913198,0.0,top
C8,85.662198,-60.008198,0.0,top
C9,98.362198,-73.851198,90.0,top
D1,122.622198,-81.179198,270.0,top
D2,124.524198,-81.179198,90.0,top
D3,126.429198,-81.179198,270.0,top
D4,128.334198,-81.179198,90.0,top
D5,92.009198,-76.963198,90.0,top
D6,93.914198,-76.963198,90.0,top
FB1,81.282198,-68.390198,180.0,top
FB2,81.282198,-66.853198,180.0,top
J1,119.810198,-60.135198,90.0,top
J2,74.308398,-68.037198,90.0,top
J3,93.762198,-85.941598,180.0,top
J4,116.777198,-85.941598,180.0,top
J5,111.468598,-71.361998,0.0,top
L1,122.238198,-71.311198,90.0,top
Q1,87.882198,-74.310698,270.0,top
Q2,84.232198,-74.280698,270.0,top
R1,110.795198,-55.055198,0.0,top
R10,83.122198,-77.788198,90.0,top
R11,85.662198,-63.818198,0.0,top
R12,128.334198,-84.354198,270.0,top
R13,126.429198,-84.354198,270.0,top
R14,124.524198,-84.354198,270.0,top
R15,122.619198,-84.354198,270.0,top
R16,102.249198,-77.788198,180.0,top
R17,118.174198,-71.819198,0.0,top
R18,127.318198,-71.311198,180.0,top
R19,92.009198,-73.788198,90.0,top
R2,110.795198,-56.833198,0.0,top
R20,93.914198,-73.788198,90.0,top
R3,110.795198,-58.611198,0.0,top
R4,110.808198,-60.262198,0.0,top
R5,110.808198,-61.913198,0.0,top
R6,73.597198,-77.153198,90.0,top
R7,75.502198,-77.087198,270.0,top
R8,85.281198,-88.710198,0.0,top
R9,86.932198,-77.788198,90.0,top
SW1,105.347198,-86.043198,0.0,top
SW3,110.046198,-65.977198,0.0,top
U1,96.98219800000001,-61.963198000000006,0.0,top
U2,111.410198,-76.264198,180.0,top
U3,85.702198,-83.226198,270.0,top
U4,84.797198,-68.395198,90.0,top
U5,76.843998,-84.302798,0.0,top
U6,74.994198,-60.897198,0.0,top
